ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Mini,,km,"0,108294",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Mini,,mile,"0,17429",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Supermini,,km,"0,132764",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Supermini,,mile,"0,21368",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Lower medium,,km,"0,144614",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Lower medium,,mile,"0,23274",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Upper medium,,km,"0,161974",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Upper medium,,mile,"0,26068",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Executive,,km,"0,174684",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Executive,,mile,"0,28114",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Luxury,,km,"0,212434",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Luxury,,mile,"0,34189",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Sports,,km,"0,170414",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Sports,,mile,"0,27426",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Dual purpose 4X4,,km,"0,202964",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,Dual purpose 4X5,,mile,"0,32665",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,MPV,,km,"0,177844",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Diesel,MPV,,mile,"0,28621",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Mini,,km,"0,13421",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Mini,,mile,"0,21598",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Supermini,,km,"0,14802",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Supermini,,mile,"0,23821",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Lower medium,,km,"0,17162",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Lower medium,,mile,"0,2762",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Upper medium,,km,"0,19923",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Upper medium,,mile,"0,32063",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Executive,,km,"0,21999",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Executive,,mile,"0,35404",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Luxury,,km,"0,32708",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Luxury,,mile,"0,52638",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Sports,,km,"0,24145",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Sports,,mile,"0,38857",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Dual purpose 4X4,,km,"0,2106",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,Dual purpose 4X5,,mile,"0,33892",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,MPV,,km,"0,19118",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Petrol,MPV,,mile,"0,30767",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Mini,,km,"0,134",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Mini,,mile,"0,21566",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Supermini,,km,"0,14601",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Supermini,,mile,"0,23498",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Lower medium,,km,"0,15893",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Lower medium,,mile,"0,25577",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Upper medium,,km,"0,17031",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Upper medium,,mile,"0,27407",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Executive,,km,"0,18547",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Executive,,mile,"0,29849",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Luxury,,km,"0,26458",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Luxury,,mile,"0,42581",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Sports,,km,"0,23006",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Sports,,mile,"0,37025",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Dual purpose 4X4,,km,"0,20518",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,Dual purpose 4X5,,mile,"0,3302",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,MPV,,km,"0,18146",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Unknown fuel,MPV,,mile,"0,29203",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Supermini,,km,"0,05255",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Supermini,,mile,"0,08458",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Lower medium,,km,"0,08342",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Lower medium,,mile,"0,13425",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Upper medium,,km,"0,0882",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Upper medium,,mile,"0,14195",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Executive,,km,"0,08975",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Executive,,mile,"0,14443",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Luxury,,km,"0,11492",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Luxury,,mile,"0,18494",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Sports,,km,"0,09359",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Sports,,mile,"0,15061",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Dual purpose 4X4,,km,"0,10371",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,Dual purpose 4X5,,mile,"0,16691",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,MPV,,km,"0,09035",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Plug-in hybrid,MPV,,mile,"0,1454",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Mini,,km,"0,04045",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Mini,,mile,"0,06511",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Supermini,,km,"0,04476",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Supermini,,mile,"0,07205",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Lower medium,,km,"0,04878",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Lower medium,,mile,"0,0785",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Upper medium,,km,"0,04797",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Upper medium,,mile,"0,07719",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Executive,,km,"0,04646",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Executive,,mile,"0,07478",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Luxury,,km,"0,05477",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Luxury,,mile,"0,08813",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Sports,,km,"0,0782",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Sports,,mile,"0,12585",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Dual purpose 4X4,,km,"0,06018",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,Dual purpose 4X5,,mile,"0,09685",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,MPV,,km,"0,06881",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by market segment)|Battery,MPV,,mile,"0,11075",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Small car,,km,"0,139894",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Small car,,mile,"0,22514",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Medium car,,km,"0,168004",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Medium car,,mile,"0,27039",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Large car,,km,"0,209534",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Large car,,mile,"0,33722",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Average car,,km,"0,170824",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Diesel,Average car,,mile,"0,27492",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Small car,,km,"0,14652",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Small car,,mile,"0,2358",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Medium car,,km,"0,1847",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Medium car,,mile,"0,29724",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Large car,,km,"0,27639",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Large car,,mile,"0,4448",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Average car,,km,"0,17048",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Petrol,Average car,,mile,"0,27436",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Hybrid,Small car,,km,"0,10332",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Hybrid,Small car,,mile,"0,16628",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Hybrid,Medium car,,km,"0,10999",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Hybrid,Medium car,,mile,"0,17702",DEFRA,2022
business-travels,distance-based-method,vehicle,Cars (by size)|Hybrid,Large car,,km,"0,15491",DEFRA,2022
