ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Hog and Pig Farming,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Chicken Egg Production,,usd,"1,171",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Broilers and Other Meat Type Chicken Production,,usd,"1,171",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Turkey Production,,usd,"1,171",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Poultry Hatcheries,,usd,"1,171",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Other Poultry Production,,usd,"1,171",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Sheep Farming,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Goat Farming,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Finfish Farming and Fish Hatcheries,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Shellfish Farming,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Other Aquaculture,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Apiculture,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Horses and Other Equine Production,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",Fur-Bearing Animal and Rabbit Production,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Animal Production and Aquaculture|Animal production and aquaculture",All Other Animal Production,,usd,"1,375",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Forestry and Logging|Forestry and logging",Timber Tract Operations,,usd,"0,301",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Forestry and Logging|Forestry and logging",Forest Nurseries and Gathering of Forest Products,,usd,"0,301",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Forestry and Logging|Forestry and logging",Logging,,usd,"0,301",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Fishing, Hunting and Trapping|Fishing, hunting and trapping",Finfish Fishing,,usd,"0,267",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Fishing, Hunting and Trapping|Fishing, hunting and trapping",Shellfish Fishing,,usd,"0,267",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Fishing, Hunting and Trapping|Fishing, hunting and trapping",Other Marine Fishing,,usd,"0,267",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Fishing, Hunting and Trapping|Fishing, hunting and trapping",Hunting and Trapping,,usd,"0,267",U.S EPA,2021
